sample_id,source_task_id,owner_label,target,sample_kind,split,event_id,anchor_time,original_v10_time,lead_bars,lead_minutes,causal_start_time,box_start_time,box_end_time,box_span_bars,box_xc,box_yc,box_w,box_h,image_rel,label_rel
neg_eth3m_20260314T063900Z_t038,38,不是,0,owner_no_hard_negative,train,1,2026-03-14T06:39:00+00:00,2026-03-14T06:39:00+00:00,0,0,2026-03-13T20:42:00+00:00,,,0,,,,,images/train/neg_eth3m_20260314T063900Z_t038.png,labels/train/neg_eth3m_20260314T063900Z_t038.txt
pos_eth3m_20260315T123900Z_t041,41,是,1,owner_yes_early_anchor,train,2,2026-03-15T12:39:00+00:00,2026-03-15T13:09:00+00:00,10,30,2026-03-15T02:42:00+00:00,2026-03-15T12:27:00+00:00,2026-03-15T12:39:00+00:00,5,0.98046875,0.433288409703504,0.0328125,0.04716981132075472,images/train/pos_eth3m_20260315T123900Z_t041.png,labels/train/pos_eth3m_20260315T123900Z_t041.txt
neg_eth3m_20260316T084200Z_t039,39,不是,0,owner_no_hard_negative,train,3,2026-03-16T08:42:00+00:00,2026-03-16T08:42:00+00:00,0,0,2026-03-15T22:45:00+00:00,,,0,,,,,images/train/neg_eth3m_20260316T084200Z_t039.png,labels/train/neg_eth3m_20260316T084200Z_t039.txt
neg_eth3m_20260316T084500Z_t160,160,不是,0,owner_no_hard_negative,train,3,2026-03-16T08:45:00+00:00,2026-03-16T08:45:00+00:00,0,0,2026-03-15T22:48:00+00:00,,,0,,,,,images/train/neg_eth3m_20260316T084500Z_t160.png,labels/train/neg_eth3m_20260316T084500Z_t160.txt
neg_eth3m_20260316T143600Z_t154,154,不是,0,owner_no_hard_negative,train,4,2026-03-16T14:36:00+00:00,2026-03-16T14:36:00+00:00,0,0,2026-03-16T04:39:00+00:00,,,0,,,,,images/train/neg_eth3m_20260316T143600Z_t154.png,labels/train/neg_eth3m_20260316T143600Z_t154.txt
neg_eth3m_20260316T144500Z_t049,49,不是,0,owner_no_hard_negative,train,4,2026-03-16T14:45:00+00:00,2026-03-16T14:45:00+00:00,0,0,2026-03-16T04:48:00+00:00,,,0,,,,,images/train/neg_eth3m_20260316T144500Z_t049.png,labels/train/neg_eth3m_20260316T144500Z_t049.txt
pos_eth3m_20260317T030300Z_t089,89,是,1,owner_yes_early_anchor,train,5,2026-03-17T03:03:00+00:00,2026-03-17T03:36:00+00:00,11,33,2026-03-16T17:06:00+00:00,2026-03-17T02:51:00+00:00,2026-03-17T03:03:00+00:00,5,0.98046875,0.3793800539083558,0.0328125,0.06064690026954178,images/train/pos_eth3m_20260317T030300Z_t089.png,labels/train/pos_eth3m_20260317T030300Z_t089.txt
neg_eth3m_20260317T043300Z_t107,107,不是,0,owner_no_hard_negative,train,6,2026-03-17T04:33:00+00:00,2026-03-17T04:33:00+00:00,0,0,2026-03-16T18:36:00+00:00,,,0,,,,,images/train/neg_eth3m_20260317T043300Z_t107.png,labels/train/neg_eth3m_20260317T043300Z_t107.txt
neg_eth3m_20260317T090900Z_t065,65,不是,0,owner_no_hard_negative,train,7,2026-03-17T09:09:00+00:00,2026-03-17T09:09:00+00:00,0,0,2026-03-16T23:12:00+00:00,,,0,,,,,images/train/neg_eth3m_20260317T090900Z_t065.png,labels/train/neg_eth3m_20260317T090900Z_t065.txt
neg_eth3m_20260317T091200Z_t105,105,不是,0,owner_no_hard_negative,train,7,2026-03-17T09:12:00+00:00,2026-03-17T09:12:00+00:00,0,0,2026-03-16T23:15:00+00:00,,,0,,,,,images/train/neg_eth3m_20260317T091200Z_t105.png,labels/train/neg_eth3m_20260317T091200Z_t105.txt
neg_eth3m_20260317T153900Z_t197,197,不是,0,owner_no_hard_negative,train,8,2026-03-17T15:39:00+00:00,2026-03-17T15:39:00+00:00,0,0,2026-03-17T05:42:00+00:00,,,0,,,,,images/train/neg_eth3m_20260317T153900Z_t197.png,labels/train/neg_eth3m_20260317T153900Z_t197.txt
neg_eth3m_20260317T195400Z_t149,149,不是,0,owner_no_hard_negative,train,9,2026-03-17T19:54:00+00:00,2026-03-17T19:54:00+00:00,0,0,2026-03-17T09:57:00+00:00,,,0,,,,,images/train/neg_eth3m_20260317T195400Z_t149.png,labels/train/neg_eth3m_20260317T195400Z_t149.txt
neg_eth3m_20260317T195700Z_t027,27,不是,0,owner_no_hard_negative,train,9,2026-03-17T19:57:00+00:00,2026-03-17T19:57:00+00:00,0,0,2026-03-17T10:00:00+00:00,,,0,,,,,images/train/neg_eth3m_20260317T195700Z_t027.png,labels/train/neg_eth3m_20260317T195700Z_t027.txt
pos_eth3m_20260318T103300Z_t117,117,是,1,owner_yes_early_anchor,train,10,2026-03-18T10:33:00+00:00,2026-03-18T11:03:00+00:00,10,30,2026-03-18T00:36:00+00:00,2026-03-18T10:21:00+00:00,2026-03-18T10:33:00+00:00,5,0.98046875,0.5121293800539084,0.0328125,0.05660377358490566,images/train/pos_eth3m_20260318T103300Z_t117.png,labels/train/pos_eth3m_20260318T103300Z_t117.txt
pos_eth3m_20260318T105700Z_t192,192,是,1,owner_yes_early_anchor,train,10,2026-03-18T10:57:00+00:00,2026-03-18T11:30:00+00:00,11,33,2026-03-18T01:00:00+00:00,2026-03-18T10:45:00+00:00,2026-03-18T10:57:00+00:00,5,0.98046875,0.5336927223719676,0.0328125,0.06199460916442048,images/train/pos_eth3m_20260318T105700Z_t192.png,labels/train/pos_eth3m_20260318T105700Z_t192.txt
pos_eth3m_20260318T110000Z_t142,142,是,1,owner_yes_early_anchor,train,10,2026-03-18T11:00:00+00:00,2026-03-18T11:36:00+00:00,12,36,2026-03-18T01:03:00+00:00,2026-03-18T10:48:00+00:00,2026-03-18T11:00:00+00:00,5,0.98046875,0.5390835579514824,0.0328125,0.0646900269541779,images/train/pos_eth3m_20260318T110000Z_t142.png,labels/train/pos_eth3m_20260318T110000Z_t142.txt
pos_eth3m_20260318T110300Z_t104,104,是,1,owner_yes_early_anchor,train,10,2026-03-18T11:03:00+00:00,2026-03-18T11:39:00+00:00,12,36,2026-03-18T01:06:00+00:00,2026-03-18T10:51:00+00:00,2026-03-18T11:03:00+00:00,5,0.98046875,0.534366576819407,0.0328125,0.07412398921832884,images/train/pos_eth3m_20260318T110300Z_t104.png,labels/train/pos_eth3m_20260318T110300Z_t104.txt
pos_eth3m_20260318T110900Z_t131,131,是,1,owner_yes_early_anchor,train,10,2026-03-18T11:09:00+00:00,2026-03-18T11:48:00+00:00,13,39,2026-03-18T01:12:00+00:00,2026-03-18T10:57:00+00:00,2026-03-18T11:09:00+00:00,5,0.98046875,0.5357142857142857,0.0328125,0.07951482479784366,images/train/pos_eth3m_20260318T110900Z_t131.png,labels/train/pos_eth3m_20260318T110900Z_t131.txt
pos_eth3m_20260319T063000Z_t021,21,是,1,owner_yes_early_anchor,train,11,2026-03-19T06:30:00+00:00,2026-03-19T07:09:00+00:00,13,39,2026-03-18T20:33:00+00:00,2026-03-19T06:18:00+00:00,2026-03-19T06:30:00+00:00,5,0.98046875,0.5741239892183289,0.0328125,0.1078167115902965,images/train/pos_eth3m_20260319T063000Z_t021.png,labels/train/pos_eth3m_20260319T063000Z_t021.txt
neg_eth3m_20260319T071500Z_t073,73,不是,0,owner_no_hard_negative,train,11,2026-03-19T07:15:00+00:00,2026-03-19T07:15:00+00:00,0,0,2026-03-18T21:18:00+00:00,,,0,,,,,images/train/neg_eth3m_20260319T071500Z_t073.png,labels/train/neg_eth3m_20260319T071500Z_t073.txt
neg_eth3m_20260319T072400Z_t026,26,不是,0,owner_no_hard_negative,train,11,2026-03-19T07:24:00+00:00,2026-03-19T07:24:00+00:00,0,0,2026-03-18T21:27:00+00:00,,,0,,,,,images/train/neg_eth3m_20260319T072400Z_t026.png,labels/train/neg_eth3m_20260319T072400Z_t026.txt
pos_eth3m_20260319T113300Z_t166,166,是,1,owner_yes_early_anchor,train,12,2026-03-19T11:33:00+00:00,2026-03-19T12:06:00+00:00,11,33,2026-03-19T01:36:00+00:00,2026-03-19T11:21:00+00:00,2026-03-19T11:33:00+00:00,5,0.98046875,0.5808625336927223,0.0328125,0.05390835579514825,images/train/pos_eth3m_20260319T113300Z_t166.png,labels/train/pos_eth3m_20260319T113300Z_t166.txt
pos_eth3m_20260319T120600Z_t052,52,是,1,owner_yes_early_anchor,train,12,2026-03-19T12:06:00+00:00,2026-03-19T12:45:00+00:00,13,39,2026-03-19T02:09:00+00:00,2026-03-19T11:54:00+00:00,2026-03-19T12:06:00+00:00,5,0.98046875,0.6037735849056604,0.0328125,0.09973045822102426,images/train/pos_eth3m_20260319T120600Z_t052.png,labels/train/pos_eth3m_20260319T120600Z_t052.txt
pos_eth3m_20260319T121200Z_t042,42,是,1,owner_yes_early_anchor,train,12,2026-03-19T12:12:00+00:00,2026-03-19T12:48:00+00:00,12,36,2026-03-19T02:15:00+00:00,2026-03-19T12:00:00+00:00,2026-03-19T12:12:00+00:00,5,0.98046875,0.6078167115902965,0.0328125,0.1078167115902965,images/train/pos_eth3m_20260319T121200Z_t042.png,labels/train/pos_eth3m_20260319T121200Z_t042.txt
neg_eth3m_20260319T130900Z_t148,148,不是,0,owner_no_hard_negative,train,12,2026-03-19T13:09:00+00:00,2026-03-19T13:09:00+00:00,0,0,2026-03-19T03:12:00+00:00,,,0,,,,,images/train/neg_eth3m_20260319T130900Z_t148.png,labels/train/neg_eth3m_20260319T130900Z_t148.txt
pos_eth3m_20260320T021500Z_t096,96,是,1,owner_yes_early_anchor,train,13,2026-03-20T02:15:00+00:00,2026-03-20T02:33:00+00:00,6,18,2026-03-19T16:18:00+00:00,2026-03-20T01:57:00+00:00,2026-03-20T02:15:00+00:00,7,0.97578125,0.3921832884097035,0.0421875,0.09433962264150944,images/train/pos_eth3m_20260320T021500Z_t096.png,labels/train/pos_eth3m_20260320T021500Z_t096.txt
neg_eth3m_20260320T044200Z_t111,111,不是,0,owner_no_hard_negative,train,14,2026-03-20T04:42:00+00:00,2026-03-20T04:42:00+00:00,0,0,2026-03-19T18:45:00+00:00,,,0,,,,,images/train/neg_eth3m_20260320T044200Z_t111.png,labels/train/neg_eth3m_20260320T044200Z_t111.txt
