task_id,stem,symbol,timeframe,candidate_time,candidate_index,window_start,window_end,window_bars,source,source_score,v10_conf,v10_prebox_visible,split_hint,holdout_safe,image_rel,label_rel
1,ETH_USDT_SWAP_3m_20260313T2212Z_v10_0001,ETH_USDT_SWAP,3m,2026-03-13T22:12:00+00:00,199,2026-03-13T12:15:00+00:00,2026-03-13T22:12:00+00:00,200,v10,0.17077919840812683,0.17077919840812683,True,internal_accept,True,images/ETH_USDT_SWAP_3m_20260313T2212Z_v10_0001.png,labels/ETH_USDT_SWAP_3m_20260313T2212Z_v10_0001.txt
2,ETH_USDT_SWAP_3m_20260313T2251Z_random_fill_0002,ETH_USDT_SWAP,3m,2026-03-13T22:51:00+00:00,212,2026-03-13T12:54:00+00:00,2026-03-13T22:51:00+00:00,200,random_fill,,,False,internal_accept,True,images/ETH_USDT_SWAP_3m_20260313T2251Z_random_fill_0002.png,labels/ETH_USDT_SWAP_3m_20260313T2251Z_random_fill_0002.txt
3,ETH_USDT_SWAP_3m_20260314T0109Z_random_fill_0003,ETH_USDT_SWAP,3m,2026-03-14T01:09:00+00:00,258,2026-03-13T15:12:00+00:00,2026-03-14T01:09:00+00:00,200,random_fill,,,False,internal_accept,True,images/ETH_USDT_SWAP_3m_20260314T0109Z_random_fill_0003.png,labels/ETH_USDT_SWAP_3m_20260314T0109Z_random_fill_0003.txt
4,ETH_USDT_SWAP_3m_20260314T0312Z_random_fill_0004,ETH_USDT_SWAP,3m,2026-03-14T03:12:00+00:00,299,2026-03-13T17:15:00+00:00,2026-03-14T03:12:00+00:00,200,random_fill,,,False,internal_accept,True,images/ETH_USDT_SWAP_3m_20260314T0312Z_random_fill_0004.png,labels/ETH_USDT_SWAP_3m_20260314T0312Z_random_fill_0004.txt
5,ETH_USDT_SWAP_3m_20260314T0348Z_downside_0005,ETH_USDT_SWAP,3m,2026-03-14T03:48:00+00:00,311,2026-03-13T17:51:00+00:00,2026-03-14T03:48:00+00:00,200,downside,1.3673068042398075,,False,internal_accept,True,images/ETH_USDT_SWAP_3m_20260314T0348Z_downside_0005.png,labels/ETH_USDT_SWAP_3m_20260314T0348Z_downside_0005.txt
6,ETH_USDT_SWAP_3m_20260314T0448Z_downside_0006,ETH_USDT_SWAP,3m,2026-03-14T04:48:00+00:00,331,2026-03-13T18:51:00+00:00,2026-03-14T04:48:00+00:00,200,downside,1.8124731070979447,,False,internal_accept,True,images/ETH_USDT_SWAP_3m_20260314T0448Z_downside_0006.png,labels/ETH_USDT_SWAP_3m_20260314T0448Z_downside_0006.txt
7,ETH_USDT_SWAP_3m_20260314T0557Z_downside_0007,ETH_USDT_SWAP,3m,2026-03-14T05:57:00+00:00,354,2026-03-13T20:00:00+00:00,2026-03-14T05:57:00+00:00,200,downside,1.0248212838623663,,False,internal_accept,True,images/ETH_USDT_SWAP_3m_20260314T0557Z_downside_0007.png,labels/ETH_USDT_SWAP_3m_20260314T0557Z_downside_0007.txt
8,ETH_USDT_SWAP_3m_20260314T0812Z_downside_0008,ETH_USDT_SWAP,3m,2026-03-14T08:12:00+00:00,399,2026-03-13T22:15:00+00:00,2026-03-14T08:12:00+00:00,200,downside,0.9695014613898962,,False,internal_accept,True,images/ETH_USDT_SWAP_3m_20260314T0812Z_downside_0008.png,labels/ETH_USDT_SWAP_3m_20260314T0812Z_downside_0008.txt
9,ETH_USDT_SWAP_3m_20260314T0924Z_random_fill_0009,ETH_USDT_SWAP,3m,2026-03-14T09:24:00+00:00,423,2026-03-13T23:27:00+00:00,2026-03-14T09:24:00+00:00,200,random_fill,,,False,internal_accept,True,images/ETH_USDT_SWAP_3m_20260314T0924Z_random_fill_0009.png,labels/ETH_USDT_SWAP_3m_20260314T0924Z_random_fill_0009.txt
10,ETH_USDT_SWAP_3m_20260314T1015Z_random_0010,ETH_USDT_SWAP,3m,2026-03-14T10:15:00+00:00,440,2026-03-14T00:18:00+00:00,2026-03-14T10:15:00+00:00,200,random,,,False,internal_accept,True,images/ETH_USDT_SWAP_3m_20260314T1015Z_random_0010.png,labels/ETH_USDT_SWAP_3m_20260314T1015Z_random_0010.txt
11,ETH_USDT_SWAP_3m_20260314T1054Z_random_fill_0011,ETH_USDT_SWAP,3m,2026-03-14T10:54:00+00:00,453,2026-03-14T00:57:00+00:00,2026-03-14T10:54:00+00:00,200,random_fill,,,False,internal_accept,True,images/ETH_USDT_SWAP_3m_20260314T1054Z_random_fill_0011.png,labels/ETH_USDT_SWAP_3m_20260314T1054Z_random_fill_0011.txt
12,ETH_USDT_SWAP_3m_20260314T1218Z_random_fill_0012,ETH_USDT_SWAP,3m,2026-03-14T12:18:00+00:00,481,2026-03-14T02:21:00+00:00,2026-03-14T12:18:00+00:00,200,random_fill,,,False,internal_accept,True,images/ETH_USDT_SWAP_3m_20260314T1218Z_random_fill_0012.png,labels/ETH_USDT_SWAP_3m_20260314T1218Z_random_fill_0012.txt
13,ETH_USDT_SWAP_3m_20260314T1321Z_random_0013,ETH_USDT_SWAP,3m,2026-03-14T13:21:00+00:00,502,2026-03-14T03:24:00+00:00,2026-03-14T13:21:00+00:00,200,random,,,False,internal_accept,True,images/ETH_USDT_SWAP_3m_20260314T1321Z_random_0013.png,labels/ETH_USDT_SWAP_3m_20260314T1321Z_random_0013.txt
14,ETH_USDT_SWAP_3m_20260314T1518Z_numeric_0014,ETH_USDT_SWAP,3m,2026-03-14T15:18:00+00:00,541,2026-03-14T05:21:00+00:00,2026-03-14T15:18:00+00:00,200,numeric,61.6505697888779,,False,internal_accept,True,images/ETH_USDT_SWAP_3m_20260314T1518Z_numeric_0014.png,labels/ETH_USDT_SWAP_3m_20260314T1518Z_numeric_0014.txt
15,ETH_USDT_SWAP_3m_20260314T1615Z_numeric_0015,ETH_USDT_SWAP,3m,2026-03-14T16:15:00+00:00,560,2026-03-14T06:18:00+00:00,2026-03-14T16:15:00+00:00,200,numeric,55.954930307836214,,False,internal_accept,True,images/ETH_USDT_SWAP_3m_20260314T1615Z_numeric_0015.png,labels/ETH_USDT_SWAP_3m_20260314T1615Z_numeric_0015.txt
